Kingdom	Phylum	Class	Order	Family	Genus	Species
2605747	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Pedobacter sp. CJ43
259	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Sphingobacterium thalpophilum
392734	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Terriglobus	Terriglobus roseus
458032	Bacteria	Acidobacteria	Blastocatellia	NA	NA	Chloracidobacterium	NA
2821543	Bacteria	Acidobacteria	Blastocatellia	NA	NA	Chloracidobacterium	Chloracidobacterium validum
2004797	Bacteria	Acidobacteria	Vicinamibacteria	NA	Vicinamibacteraceae	Luteitalea	NA
2818388	Bacteria	Acidobacteria	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	NA	Acanthopleuribacteraceae bacterium M133
188913	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Cetobacterium	Cetobacterium somerae
203683	Bacteria	Planctomycetes	Planctomycetia	NA	NA	NA	NA
692036	Bacteria	Planctomycetes	Planctomycetia	Gemmatales	Gemmataceae	Tuwongella	Tuwongella immobilis
174633	Bacteria	Planctomycetes	Candidatus Brocadiia	Candidatus Brocadiales	Candidatus Brocadiaceae	Candidatus Kuenenia	Candidatus Kuenenia stuttgartiensis
638849	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Pyramidobacter	Pyramidobacter piscolens
2897334	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Methylorubrum	Methylorubrum sp. B1-46
2826993	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Aurantimonadaceae	Aureimonas	Aureimonas sp. SA4125
2758041	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Aurantimonadaceae	Aureimonas	Aureimonas mangrovi
1701758	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Aurantimonadaceae	Aureimonas	Aureimonas populi
2986949	NA	NA	NA	NA	NA	NA	NA
2906072	NA	NA	NA	NA	NA	NA	NA
2735528	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Agrobacterium	Agrobacterium sp. B7.6
379	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Rhizobium	NA
384	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Rhizobium	Rhizobium leguminosarum
2599600	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Nitratireductor	Nitratireductor sp. SY7
391905	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis	Methylocystis heyeri
1333996	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Variibacter	Variibacter gotjawalensis
2928472	NA	NA	NA	NA	NA	NA	NA
76890	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis	NA
204457	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	NA	NA	NA
93064	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas koreensis
386874	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sediminicola
165696	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	NA
1176536	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium ginsenosidimutans
1016987	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium sp. THN1
433	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	NA	NA
435	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter aceti
2768162	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	Roseomonas sp. 546
1434011	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	NA
1434191	Bacteria	Proteobacteria	Alphaproteobacteria	Maricaulales	Maricaulaceae	Glycocaulis	Glycocaulis alkaliphilus
28216	Bacteria	Proteobacteria	Betaproteobacteria	NA	NA	NA	NA
434014	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	Variovorax sp. PBL-E5
358220	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. KKS102
2738413	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. YS12
1842533	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. RAC01
2714923	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. HDW3
28065	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	NA
1842727	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	Rhodoferax koreense
2714924	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Diaphorobacter	Diaphorobacter sp. HDW4A
379895	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Comamonas odontotermitis
2109914	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ottowia	Ottowia oryzae
1658672	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ottowia	Ottowia sp. oral taxon 894
1678128	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Limnohabitans	Limnohabitans sp. 63ED37-2
2861282	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia sp. NP310
871742	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia flava
2211211	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia dokdonella
2914710	NA	NA	NA	NA	NA	NA	NA
391953	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	NA	Aquincola	Aquincola tertiaricarbonis
2917790	NA	NA	NA	NA	NA	NA	NA
208962	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia albertii
1981174	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. M30-35
2799564	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas sp. LC2018020214
2822847	NA	NA	NA	NA	NA	NA	NA
2785123	NA	NA	NA	NA	NA	NA	NA
186490	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	Candidatus Baumannia cicadellinicola
1548548	Bacteria	Proteobacteria	Deltaproteobacteria	Bradymonadales	Bradymonadaceae	Bradymonas	Bradymonas sediminis
210	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
1967666	Bacteria	Cyanobacteria	NA	Chroococcales	Microcystaceae	Microcystis	Microcystis sp. MC19
118562	Bacteria	Cyanobacteria	NA	Oscillatoriales	Microcoleaceae	Arthrospira	Arthrospira platensis
1188	Bacteria	Cyanobacteria	NA	Nostocales	Tolypothrichaceae	Tolypothrix	Tolypothrix sp. PCC 7601
2906798	NA	NA	NA	NA	NA	NA	NA
1209493	Bacteria	Cyanobacteria	NA	Pseudanabaenales	Prochlorotrichaceae	Halomicronema	Halomicronema hongdechloris
1353147	Bacteria	Cyanobacteria	NA	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. CBW1108
1590	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	Lactiplantibacillus plantarum
1578	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	NA
1385	Bacteria	Firmicutes	Bacilli	Bacillales	NA	NA	NA
28187	Bacteria	Firmicutes	Clostridia	Halanaerobiales	Halobacteroidaceae	Acetohalobium	Acetohalobium arabaticum
1555112	Bacteria	Firmicutes	Limnochordia	Limnochordales	Limnochordaceae	Limnochorda	Limnochorda pilosa
1641402	Bacteria	Actinobacteria	Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	Pseudonocardia sp. HH130629-09
2865833	Bacteria	Actinobacteria	Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	Pseudonocardia sp. DSM 110487
2736640	Bacteria	Actinobacteria	Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	Pseudonocardia broussonetiae
1795	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium neoaurum
2987751	NA	NA	NA	NA	NA	NA	NA
2820884	Bacteria	Actinobacteria	Actinomycetia	Streptosporangiales	Nocardiopsaceae	NA	Nocardiopsaceae bacterium VN6-2
139208	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Promicromonosporaceae	Isoptericola	Isoptericola variabilis
2933797	NA	NA	NA	NA	NA	NA	NA
42256	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteraceae	Rubrobacter	Rubrobacter radiotolerans
2653852	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteraceae	Rubrobacter	Rubrobacter marinus
1670831	Bacteria	Actinobacteria	Nitriliruptoria	Egibacterales	Egibacteraceae	Egibacter	Egibacter rhizosphaerae
32064	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	NA	NA	NA
120961	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	Roseiflexus	NA
120962	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	Roseiflexus	Roseiflexus castenholzii
357808	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	Roseiflexus	Roseiflexus sp. RS-1
1107	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	Chloroflexus	NA
2057	Bacteria	Chloroflexi	Thermomicrobia	Sphaerobacterales	Sphaerobacteraceae	Sphaerobacter	Sphaerobacter thermophilus
188786	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	NA	NA
2779359	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Zunongwangia	Zunongwangia sp. SCSIO 43204
466153	Bacteria	Planctomycetes	Planctomycetia	Isosphaerales	Isosphaeraceae	Singulisphaera	Singulisphaera acidiphila
2051553	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium currus
2015316	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Boseaceae	Bosea	Bosea sp. AS-1
2599640	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Boseaceae	Bosea	Bosea sp. F3-2
2969620	NA	NA	NA	NA	NA	NA	NA
2969621	NA	NA	NA	NA	NA	NA	NA
2083786	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Devosiaceae	Devosia	Devosia sp. I507
2499144	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Devosiaceae	Devosia	Devosia sp. 1566
1082930	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Devosiaceae	Pelagibacterium	NA
235	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	Brucella abortus
2596913	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. NBWT7
2681549	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. LMO-1
1609758	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium sp. P6W
2025349	NA	NA	NA	NA	NA	NA	NA
48935	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium aromaticivorans
158500	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium resinovorum
165695	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	NA
2968500	NA	NA	NA	NA	NA	NA	NA
2798724	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Croceicoccus	Croceicoccus sp. YJ47
2060312	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Altererythrobacter	Altererythrobacter sp. B11
2897332	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	Roseomonas sp. OT10
153496	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Kozakia	Kozakia baliensis
31989	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
265	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	NA
1397108	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Celeribacter	Celeribacter marinus
2774875	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	Variovorax sp. 38R
1795631	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	Variovorax sp. PAMC 28711
2752316	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	Rhodoferax sp. AJA081-3
81479	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	Rhodoferax antarcticus
2509614	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	Rhodoferax sediminis
238749	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Diaphorobacter	NA
2735554	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Diaphorobacter	Diaphorobacter sp. JS3050
1288495	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Diaphorobacter	Diaphorobacter aerolatus
363952	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Comamonas thiooxydans
307486	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	NA	Tepidimonas	Tepidimonas taiwanensis
36873	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia xenovorans
28068	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	NA	Rubrivivax	Rubrivivax gelatinosus
413882	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	NA	NA	[Polyangium] brachysporum
748811	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Sterolibacteriaceae	Sulfuritalea	Sulfuritalea hydrogenivorans
2715678	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Sulfuricellaceae	Sulfurimicrobium	Sulfurimicrobium lacus
554	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Pectobacterium	Pectobacterium carotovorum
135621	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	NA	NA
104087	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas frederiksbergensis
136849	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA
86840	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas cannabina
2083051	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. SWI6
2583805	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia	Colwellia sp. M166
2010829	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Aerosticca	Aerosticca soli
747	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella	Pasteurella multocida
731	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Histophilus	Histophilus somni
2572923	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio taketomensis
40214	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter johnsonii
2918171	NA	NA	NA	NA	NA	NA	NA
2576903	Bacteria	Cyanobacteria	NA	Nostocales	Nostocaceae	Nostoc	Nostoc sp. C057
1352	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
653388	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	NA
260554	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus halotolerans
2093834	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. ZY-1-1
1398	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Weizmannia	Weizmannia coagulans
216572	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	NA	NA
1852373	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Murdochiella	Murdochiella vaginalis
53458	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Intrasporangiaceae	Janibacter	Janibacter limosus
169292	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium aurimucosum
1544730	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Kribbellaceae	Kribbella	Kribbella qitaiheensis
106370	Bacteria	Actinobacteria	Actinomycetia	Frankiales	Frankiaceae	Frankia	Frankia casuarinae
477641	Bacteria	Actinobacteria	Actinomycetia	Geodermatophilales	Geodermatophilaceae	Modestobacter	Modestobacter marinus
2849779	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Iamiaceae	Aquihabitans	Aquihabitans sp. G128
2789776	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Iamiaceae	Actinomarinicola	Actinomarinicola tropica
2949664	NA	NA	NA	NA	NA	NA	NA
502558	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Eggerthella	Eggerthella sp. YY7918
2562892	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Myroides	Myroides albus
2282170	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Kordia	Kordia sp. SMS9
59732	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	NA
2015076	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium sp. T16E-39
2864040	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium sp. LJ668
2898076	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium sp. C-17
1871047	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium sp.
2487065	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium sp. G0201
254	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium indoltheticum
421058	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium oranimense
1493872	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium shandongense
266749	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Kaistella	Kaistella jeonii
1583098	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium hwasookii
1643951	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Pseudothermotoga	NA
870903	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Terriglobus	Terriglobus saanensis
158	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema denticola
169176	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	Caenibius	Caenibius tardaugens
533	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Beijerinckia	Beijerinckia indica
569860	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Methylovirgula	Methylovirgula ligni
1632780	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Phreatobacteraceae	Phreatobacter	NA
1482074	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Pleomorphomonadaceae	Hartmannibacter	Hartmannibacter diazotrophicus
1523415	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. AAP5
2937788	NA	NA	NA	NA	NA	NA	NA
2949093	NA	NA	NA	NA	NA	NA	NA
397260	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sanxanigenens
363835	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas ginsengisoli An et al. 2013
2896849	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium sp. Sx8-5
2733867	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium sp. KCTC 72723
2711156	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Rhizorhabdus	Rhizorhabdus sp. MK52
2604537	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Altererythrobacter	Altererythrobacter sp. BO-6
191	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Azospirillaceae	Azospirillum	NA
1678028	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia sp. NR 4-1
2852099	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia sp. HC52
1522432	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Pseudoduganella	NA
321984	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia plicata
864828	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia umbonata
2072590	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia armeniaca
375286	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium	Janthinobacterium sp. Marseille
92645	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Herbaspirillum	Herbaspirillum frisingense
1809410	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Herminiimonas	Herminiimonas arsenitoxidans
65656	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	Hydrogenophaga taeniospiralis
1822464	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	NA
75105	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia caribensis
52443	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio tapetis
2699430	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Caldichromatium	Caldichromatium japonicum
868	Bacteria	Proteobacteria	Gammaproteobacteria	Cardiobacteriales	Cardiobacteriaceae	NA	NA
2963939	NA	NA	NA	NA	NA	NA	NA
1126	Bacteria	Cyanobacteria	NA	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa
1255	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus pentosaceus
2908839	NA	NA	NA	NA	NA	NA	NA
54913	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus formosus
85023	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	NA	NA
1804990	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microcella	Microcella flavibacter
1389020	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Agromyces	Agromyces marinus
2070347	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Agrococcus	Agrococcus sp. SGAir0287
1889	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces ambofaciens
563172	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Ferruginibacter	Ferruginibacter lapsinanis
2778902	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Mucilaginibacter sp. 21P
426117	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium sp. 4-46
2081791	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Rhizobium	Rhizobium ruizarguesonis
708113	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	NA	Terrihabitans	Terrihabitans soli
2562284	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	Pseudolabrys	Pseudolabrys sp. FHR47
2821832	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Stappiaceae	NA	NA
2233851	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Blastochloridaceae	Blastochloris	Blastochloris tepida
2304600	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Breoghaniaceae	Breoghania	Breoghania sp. L-A4
1961362	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. NIC1
